seed, type, density, mode, subchromatique, idnoeud, score
1710090403, ER, 0.1, SCA, 27, 257, 1
1710090403, ER, 0.1, SCA, 27, 258, 1
1710090403, ER, 0.1, SCA, 27, 259, 1
1710090403, ER, 0.1, SCA, 27, 260, 1
1710090403, ER, 0.1, SCA, 27, 261, 1
1710090403, ER, 0.1, SCA, 27, 262, 0.5
1710090403, ER, 0.1, SCA, 27, 263, 0.5
1710090403, ER, 0.1, SCA, 27, 264, 1
1710090403, ER, 0.1, SCA, 27, 265, 0.5
1710090403, ER, 0.1, SCA, 27, 266, 1
1710090403, ER, 0.1, SCA, 27, 267, 0.5
1710090403, ER, 0.1, SCA, 27, 268, 1
1710090403, ER, 0.1, SCA, 27, 269, 1
1710090403, ER, 0.1, SCA, 27, 270, 1
1710090403, ER, 0.1, SCA, 27, 271, 1
1710090403, ER, 0.1, SCA, 27, 272, 1
1710090403, ER, 0.1, SCA, 27, 273, 1
1710090403, ER, 0.1, SCA, 27, 274, 0.5
1710090403, ER, 0.1, SCA, 27, 275, 0.5
1710090403, ER, 0.1, SCA, 27, 276, 1
1710090403, ER, 0.1, SCA, 27, 277, 1
1710090403, ER, 0.1, SCA, 27, 278, 1
1710090403, ER, 0.1, SCA, 27, 279, 1
1710090403, ER, 0.1, SCA, 27, 280, 0.5
1710090403, ER, 0.1, SCA, 27, 281, 1
1710090403, ER, 0.1, SCA, 27, 282, 1
1710090403, ER, 0.1, SCA, 27, 283, 1
1710090403, ER, 0.1, SCA, 27, 284, 1
1710090403, ER, 0.1, SCA, 27, 285, 1
1710090403, ER, 0.1, SCA, 27, 286, 0.5
1710090403, ER, 0.1, SCA, 27, 287, 1
1710090403, ER, 0.1, SCA, 27, 288, 0.5
1710090403, ER, 0.1, SCA, 27, 289, 1
1710090403, ER, 0.1, SCA, 27, 290, 0.5
1710090403, ER, 0.1, SCA, 27, 291, 0.5
1710090403, ER, 0.1, SCA, 27, 292, 1
1710090403, ER, 0.1, SCA, 27, 293, 1
1710090403, ER, 0.1, SCA, 27, 294, 1
1710090403, ER, 0.1, SCA, 27, 295, 1
1710090403, ER, 0.1, SCA, 27, 296, 0.5
1710090403, ER, 0.1, SCA, 27, 297, 0.5
1710090403, ER, 0.1, SCA, 27, 298, 1
1710090403, ER, 0.1, SCA, 27, 299, 1
1710090403, ER, 0.1, SCA, 27, 300, 1
1710090403, ER, 0.1, SCA, 27, 301, 1
1710090403, ER, 0.1, SCA, 27, 302, 1
1710090403, ER, 0.1, SCA, 27, 303, 1
1710090403, ER, 0.1, SCA, 27, 304, 0.5
1710090403, ER, 0.1, SCA, 27, 305, 1
1710090403, ER, 0.1, SCA, 27, 306, 1
1710090403, ER, 0.1, SCA, 27, 307, 0.5
1710090403, ER, 0.1, SCA, 27, 308, 1
1710090403, ER, 0.1, SCA, 27, 309, 0.5
1710090403, ER, 0.1, SCA, 27, 310, 1
1710090403, ER, 0.1, SCA, 27, 311, 1
1710090403, ER, 0.1, SCA, 27, 312, 0.5
1710090403, ER, 0.1, SCA, 27, 313, 1
1710090403, ER, 0.1, SCA, 27, 314, 1
1710090403, ER, 0.1, SCA, 27, 315, 1
1710090403, ER, 0.1, SCA, 27, 316, 0.5
1710090403, ER, 0.1, SCA, 27, 317, 1
1710090403, ER, 0.1, SCA, 27, 318, 1
1710090403, ER, 0.1, SCA, 27, 319, 1
1710090403, ER, 0.1, SCA, 27, 320, 1
1710090403, ER, 0.1, SCA, 27, 321, 1
1710090403, ER, 0.1, SCA, 27, 322, 1
1710090403, ER, 0.1, SCA, 27, 323, 1
1710090403, ER, 0.1, SCA, 27, 324, 1
1710090403, ER, 0.1, SCA, 27, 325, 0.5
1710090403, ER, 0.1, SCA, 27, 326, 0.5
1710090403, ER, 0.1, SCA, 27, 327, 0.5
1710090403, ER, 0.1, SCA, 27, 328, 1
1710090403, ER, 0.1, SCA, 27, 329, 1
1710090403, ER, 0.1, SCA, 27, 330, 1
1710090403, ER, 0.1, SCA, 27, 331, 1
1710090403, ER, 0.1, SCA, 27, 332, 1
1710090403, ER, 0.1, SCA, 27, 333, 0.5
1710090403, ER, 0.1, SCA, 27, 334, 0.5
1710090403, ER, 0.1, SCA, 27, 335, 1
1710090403, ER, 0.1, SCA, 27, 336, 1
1710090403, ER, 0.1, SCA, 27, 337, 1
1710090403, ER, 0.1, SCA, 27, 338, 1
1710090403, ER, 0.1, SCA, 27, 339, 1
1710090403, ER, 0.1, SCA, 27, 340, 1
1710090403, ER, 0.1, SCA, 27, 341, 1
1710090403, ER, 0.1, SCA, 27, 342, 1
1710090403, ER, 0.1, SCA, 27, 343, 1
1710090403, ER, 0.1, SCA, 27, 344, 1
1710090403, ER, 0.1, SCA, 27, 345, 1
1710090403, ER, 0.1, SCA, 27, 346, 1
1710090403, ER, 0.1, SCA, 27, 347, 1
1710090403, ER, 0.1, SCA, 27, 348, 0.5
1710090403, ER, 0.1, SCA, 27, 349, 0.5
1710090403, ER, 0.1, SCA, 27, 350, 1
1710090403, ER, 0.1, SCA, 27, 351, 1
1710090403, ER, 0.1, SCA, 27, 352, 1
1710090403, ER, 0.1, SCA, 27, 353, 1
1710090403, ER, 0.1, SCA, 27, 354, 1
1710090403, ER, 0.1, SCA, 27, 355, 1
1710090403, ER, 0.1, SCA, 27, 356, 0.5
1710090403, ER, 0.1, SCA, 27, 357, 1
1710090403, ER, 0.1, SCA, 27, 358, 0.5
1710090403, ER, 0.1, SCA, 27, 359, 0.5
1710090403, ER, 0.1, SCA, 27, 360, 0.5
1710090403, ER, 0.1, SCA, 27, 361, 1
1710090403, ER, 0.1, SCA, 27, 362, 0.5
1710090403, ER, 0.1, SCA, 27, 363, 0.5
1710090403, ER, 0.1, SCA, 27, 364, 1
1710090403, ER, 0.1, SCA, 27, 365, 1
1710090403, ER, 0.1, SCA, 27, 366, 1
1710090403, ER, 0.1, SCA, 27, 367, 1
1710090403, ER, 0.1, SCA, 27, 368, 0.5
1710090403, ER, 0.1, SCA, 27, 369, 0.5
1710090403, ER, 0.1, SCA, 27, 370, 1
1710090403, ER, 0.1, SCA, 27, 371, 0.5
1710090403, ER, 0.1, SCA, 27, 372, 1
1710090403, ER, 0.1, SCA, 27, 373, 0.5
1710090403, ER, 0.1, SCA, 27, 374, 1
1710090403, ER, 0.1, SCA, 27, 375, 1
1710090403, ER, 0.1, SCA, 27, 376, 1
1710090403, ER, 0.1, SCA, 27, 377, 1
1710090403, ER, 0.1, SCA, 27, 378, 1
1710090403, ER, 0.1, SCA, 27, 379, 0.5
1710090403, ER, 0.1, SCA, 27, 380, 1
1710090403, ER, 0.1, SCA, 27, 381, 1
1710090403, ER, 0.1, SCA, 27, 382, 1
1710090403, ER, 0.1, SCA, 27, 383, 0.5
1710090403, ER, 0.1, SCA, 27, 384, 1
1710090403, ER, 0.1, SCA, 27, 385, 1
1710090403, ER, 0.1, SCA, 27, 386, 1
1710090403, ER, 0.1, SCA, 27, 387, 1
1710090403, ER, 0.1, SCA, 27, 388, 0.5
1710090403, ER, 0.1, SCA, 27, 389, 0.5
1710090403, ER, 0.1, SCA, 27, 390, 0.5
1710090403, ER, 0.1, SCA, 27, 391, 1
1710090403, ER, 0.1, SCA, 27, 392, 0.5
1710090403, ER, 0.1, SCA, 27, 393, 1
1710090403, ER, 0.1, SCA, 27, 394, 1
1710090403, ER, 0.1, SCA, 27, 395, 1
1710090403, ER, 0.1, SCA, 27, 396, 1
1710090403, ER, 0.1, SCA, 27, 397, 1
1710090403, ER, 0.1, SCA, 27, 398, 1
1710090403, ER, 0.1, SCA, 27, 399, 1
1710090403, ER, 0.1, SCA, 27, 400, 1
1710090403, ER, 0.1, SCA, 27, 401, 0.5
1710090403, ER, 0.1, SCA, 27, 402, 1
1710090403, ER, 0.1, SCA, 27, 403, 1
1710090403, ER, 0.1, SCA, 27, 404, 1
1710090403, ER, 0.1, SCA, 27, 405, 1
1710090403, ER, 0.1, SCA, 27, 406, 1
1710090403, ER, 0.1, SCA, 27, 407, 1
1710090403, ER, 0.1, SCA, 27, 408, 0.5
1710090403, ER, 0.1, SCA, 27, 409, 1
1710090403, ER, 0.1, SCA, 27, 410, 1
1710090403, ER, 0.1, SCA, 27, 411, 1
1710090403, ER, 0.1, SCA, 27, 412, 0.5
1710090403, ER, 0.1, SCA, 27, 413, 1
1710090403, ER, 0.1, SCA, 27, 414, 0.5
1710090403, ER, 0.1, SCA, 27, 415, 1
1710090403, ER, 0.1, SCA, 27, 416, 1
1710090403, ER, 0.1, SCA, 27, 417, 1
1710090403, ER, 0.1, SCA, 27, 418, 1
1710090403, ER, 0.1, SCA, 27, 419, 0.5
1710090403, ER, 0.1, SCA, 27, 420, 1
1710090403, ER, 0.1, SCA, 27, 421, 1
1710090403, ER, 0.1, SCA, 27, 422, 0.5
1710090403, ER, 0.1, SCA, 27, 423, 1
1710090403, ER, 0.1, SCA, 27, 424, 0.5
1710090403, ER, 0.1, SCA, 27, 425, 1
1710090403, ER, 0.1, SCA, 27, 426, 1
1710090403, ER, 0.1, SCA, 27, 427, 1
1710090403, ER, 0.1, SCA, 27, 428, 1
1710090403, ER, 0.1, SCA, 27, 429, 1
1710090403, ER, 0.1, SCA, 27, 430, 1
1710090403, ER, 0.1, SCA, 27, 431, 0.5
1710090403, ER, 0.1, SCA, 27, 432, 1
1710090403, ER, 0.1, SCA, 27, 433, 1
1710090403, ER, 0.1, SCA, 27, 434, 0.5
1710090403, ER, 0.1, SCA, 27, 435, 1
1710090403, ER, 0.1, SCA, 27, 436, 1
